_id,selcode,card.description,card.model,card.image,technical.category,technical.location,technical.maker.web,technical.instructions,finance.purchase.date,finance.purchase.location,finance.purchase.amount,finance.purchase.invoice,finance.purchase.note,finance.disposal.date,finance.disposal.amount,finance.disposal.note,status,admin.creation.date,admin.update.date,technical.maker.name,technical.model_number,technical.serial_number,admin.update.user
6796aaf019005d0f46e68ae2,0022,Belt Sender,,0022 Makita Belt Sender 9924DB.jpg,Tools,Workshop,https://www.makita.co.nz/,0022 Makita Belt Sender 9924DB.pdf,1995-06-29T12:00:00.000Z,Placemakers Kaiwharawhara,320,0000 Missing Invoice.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Makita,9924,115174E,
6796aaf019005d0f46e68ae9,0056,Dishwasher,SMS50E12AU,0056 bosch_dishwasher.jpg,Kitchenware,Disposed,https://www.bosch-home.co.nz/,0056 Dishwasher - Bosch SMS50E12AU SD6P6B.pdf,2010-09-18T12:00:00.000Z,Harvey Norman Lower Hutt,1197,0056 Bosch Dishwasher.pdf,,2023-10-30T11:00:00.000Z,0,Damaged W/Off,Inactive,1900-12-31T12:30:00.000Z,2023-10-30T11:00:00.000Z,Bosch,SD6P6B,N24342,karol_wojasz
6796aaf019005d0f46e68aed,0074,Ryobi Electric Hedge Trimmer,RHT600RLG,0074 Ryobi Hedge Trimmer RHT600RLG.jpg,Tools,Garden,https://www.ryobi.com.au/,0074 Ryobi Hedge Trimmer RHT600RLG.pdf,2013-02-15T11:00:00.000Z,Bunnings Lower Hutt,149.5,0074 Ryobi Hedge Trimmer RHT600RLG.pdf,Two year warranty ends on 16 Feb 2015,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Ryobi,,,
6796aaf019005d0f46e68af2,0088,Sony AV Receiver,STR-DN840,0088 Sony STR-DN840.jpg,Electronic,Living Room,https://www.sony.co.nz/productcategory/ha-hifi-component,0088 Sony AV Receiver STR-DN840.pdf,2013-06-08T12:00:00.000Z,Sony NZ Wellington,719.95,0088 Sony STR-DN840.pdf,3 Years warranty ends 06 Sep 2016,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Sony,,3300216,
6796aaf019005d0f46e68af9,0109,Acer Aspire VN 7791G,Aspire,0109 Acer Aspire VN7791G.jpg,Electronic,Disposed,https://www.acer.co.nz/ac/en/NZ/content/home,0000 No Instructions.pdf,2015-09-14T12:00:00.000Z,USA - newegg.com,1920,0000 Missing Invoice.pdf,,1900-12-31T12:30:00.000Z,0,,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Acer,VN7791G792A,NXMUTAA005510096A26609,
6796aaf019005d0f46e68afb,0111,Chipper Shredder 13 HP,13 HP,0111 Chipper Shredder 13 HP.jpg,Tools,Garden,https://www.tradetested.co.nz/,0000 No Instructions.pdf,2016-02-21T11:00:00.000Z,TradeTested,1299,0111 Chipper Shredder 13 HP.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,TradeTested,,,
6796aaf019005d0f46e68afe,0120,Panasonic Microwave,Inverter,0120 Panasonic Microwave.jpg,Kitchenware,Kitchen-Dining,https://http://www.panasonic.com/nz/,0120 Panasonic Microwave.pdf,2017-07-07T12:00:00.000Z,Noel Leeming Lower Hutt,242.99,0120 Panasonic Microwave.pdf,1 Years Warranty,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Panasonic,NN-ST671SQPQ,5B57160566,
6796aaf019005d0f46e68aff,0122,Samsung 24 Monitor,S24F350FHE,0122 Samsung SF350 Monitor.jpg,Electronic,Karols Office,https://www.samsung.com/nz/home,0000 No Instructions.pdf,2017-10-04T11:00:00.000Z,MightyApe,227.9,0122 Samsung SF350 Monitor.pdf,1 Years Warranty,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Samsung,,ZZBH4ZJ400485,
6796aaf019005d0f46e68b03,0133,Samsung Smart TV - 32 Inch,32 Inch FHD LED Smart TV,0133 Samsung Smart TV 5500.jpg,Electronic,Living Room,https://www.samsung.com/nz/,0133 Samsung Smart TV 5500.pdf,2018-11-30T11:00:00.000Z,Harvey Norman Lower Hutt,595,0133 Samsung Smart TV 5500.pdf,1 Years Warranty till 01 Dec 2019,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Samsung,UA32M5500ASXNZ,S/N03EY3NAKA00824,
6796aaf019005d0f46e68b05,0136,Acer Predator Hellios 300,Predator Helios 300,0136 Acer Predator Helios 300.jpg,Electronic,Karols Office,https://www.acer.com/ac/en/NZ/content/home,0000 No Instructions.pdf,2019-07-14T12:00:00.000Z,Mighty Ape,2238,0136 Acer Predator Helios 300.pdf,1 Years Warranty till 15 Jul 2020,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Acer,PH315-51-77BB,S/N NHQ3FSA002901028453400,
6796aaf019005d0f46e68b0c,0031,Epson Inkjet Printer,EpsonStylus Photo,0031 Epson Inkjet Printer StylusPhotoR390.jpg,Electronic,Disposed,https://www.epson.co.nz/,0031 Epson Inkjet Printer StylusPhotoR390.pdf,2008-05-09T12:00:00.000Z,Harvey Norman Lower Hutt,185,0031 Epson Inkjet Printer StylusPhotoR390.pdf,,1900-12-31T12:30:00.000Z,0,,Inactive,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Epson,R390,JLDK004716,
6796aaf019005d0f46e68b10,0047,Toaster,TA6420,0047 Sunbean Toaster TA6420.jpg,Electronic,Disposed,https://www.sunbeam.com.au/,0047 Sunbean Toaster TA6420.pdf,2009-04-25T12:00:00.000Z,Harvey Norman Lower Hutt,74,0047 Sunbean Toaster TA6420.pdf,,2024-04-11T12:00:00.000Z,0,Damaged W/Off,Inactive,1900-12-31T12:30:00.000Z,2024-04-13T12:00:00.000Z,Sunmeam,,,karol_wojasz
6796aaf019005d0f46e68b15,0067,Samsung Galaxy Tab 2 10.1,Galaxy Tab 2 10.1,0067 Samsung Galaxy Tab 2 GT-P110.jpg,Electronic,Karols Office,https://www.samsung.com/nz/home,0067 Samsung Galaxy Tab 2 GT-P110.pdf,2012-06-21T12:00:00.000Z,Noel Leeming Tory Street,569,0067 Samsung Galaxy Tab 2 GT-P110.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Samsung,GT-P5110,R32C6013R4Y,
6796aaf019005d0f46e68b16,0068,Samsung Smart TV,32 Inch Slim FHD LED,0068 Samsung TV UE32ES5500M.jpg,Electronic,Cork Room,https://www.samsung.com/nz/home,0000 No Instructions.pdf,2012-06-28T12:00:00.000Z,Harvey Norman Tory Street,788,0068 Samsung TV UE32ES5500M.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Samsung,UA32ES5500MXRD,ZW6V3MKC400266L,
6796aaf019005d0f46e68b18,0070,Sony Reader WiFi Touch 2012 Black,PRST2BC,0070 Sony Reader PRST2BC.jpeg,Electronic,Fionas Office,https://www.sony.co.nz/section/home,0070 Sony Reader PRST2.pdf,2013-01-24T11:00:00.000Z,Sony NZ Wellington,199.95,0070 Sony Reader PRST2BC.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Sony,,1100756,
6796aaf019005d0f46e68b1a,0094,Black and Decker Hammer Drill,KR753K-XE,0094 Black and Decker Hammer Drill KR753K.jpg,Tools,Workshop,https://www.blackanddecker.co.nz/powertools/,0000 No Instructions.pdf,2014-02-21T11:00:00.000Z,Petone Mega 10,99.99,0094 Black and Decker Hammer Drill KR753K.pdf,Two year warranty ends on 22 Feb 2016,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Black and Decker,,,
6796aaf019005d0f46e68b1c,0105,Panasonic Camera DMC-TZ 60,DMC-TZ 60,0105 Panasonic Camera DMC TZ 60.jpg,Electronic,Fionas Office,https://www.panasonic.com/nz/home.html,0105 Panasonic Camera DMC TZ 60.pdf,2014-09-01T12:00:00.000Z,Nelson City CAmeras,550,0105 Panasonic Camera DMC TZ 60.pdf,,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Panasonic,,WP4SB0023317,
6796aaf019005d0f46e68b21,0123,25.4 CC Grass Trimmer,RLT254CSEON,0123 Ryobi Grass Trimmer.jpg,Tools,Garden Shed,https://http://www.ryobi.co.nz,0123 Ryobi Grass Trimmer.pdf,2017-10-12T11:00:00.000Z,Bunnings Petone,249,0123 Ryobi Grass Trimmer.pdf,2 Years Warranty till 13 Oct 2019,1900-12-31T12:30:00.000Z,0,,Active,1900-12-31T12:30:00.000Z,1900-12-31T12:30:00.000Z,Ryobi,,,
6796aaf019005d0f46e68b24,0159,Surface Pro-4,Surface Pro 4,0159 Surface Pro4 I5 256 GB.jpg,Electronic,Karols Office,https://www.microsoft.com/en-nz/surface/devices/surface-pro-11th-edition,0159 Surface Pro4 I5 256 GB.pdf,2024-12-15T11:00:00.000Z,Trade Me,210,0159 MS Surface 4 Pro Invoice.pdf,Includes Keyboard Power Adaptor and Carry Bag,1900-12-31T12:30:00.000Z,0,,Active,2024-12-16T11:00:00.000Z,1900-12-31T12:30:00.000Z,Microsoft,I5 256GB,053957661553,
